,question,answer
3349,Ya. saya masih tidak percaya dewan kota kami mengizinkan bangunan ini.,mereka mungkin mendapatkan sesuatu di bawah meja.
3350,itu adalah kebakaran besar di santa barbara.,ya itu.
3351,ya itu.,mereka mengatakan sekitar 30 rumah terbakar habis.
3352,mereka mengatakan sekitar 30 rumah terbakar habis.,dan itu adalah rumah yang mahal.
3353,dan itu adalah rumah yang mahal.,aku merasa sangat kasihan pada orang-orang itu.
3354,aku merasa sangat kasihan pada orang-orang itu.,kenapa kasihan pada orang kaya?
3355,kenapa kasihan pada orang kaya?,saya merasa kasihan pada siapa pun yang kehilangan rumahnya.
3356,saya merasa kasihan pada siapa pun yang kehilangan rumahnya.,"aku juga, tapi tidak jika mereka kaya."
3357,"aku juga, tapi tidak jika mereka kaya.",apa hubungannya dengan itu?
3358,apa hubungannya dengan itu?,orang kaya berpikir mereka lebih baik dari kita.
3359,orang kaya berpikir mereka lebih baik dari kita.,berapa banyak orang kaya yang kamu kenal?
3360,berapa banyak orang kaya yang kamu kenal?,tidak ada.
3361,beruang menyerang lingkungan kita.,tentu mereka. mereka mati kelaparan.
3362,tentu mereka. mereka mati kelaparan.,mereka harus tinggal di hutan tempat mereka berada.
3363,mereka harus tinggal di hutan tempat mereka berada.,tidak ada makanan di hutan.
3364,tidak ada makanan di hutan.,tidak bisakah mereka makan rumput?
3365,tidak bisakah mereka makan rumput?,menurutmu beruang itu sapi?
3366,menurutmu beruang itu sapi?,"ya, aku pernah melihat mereka makan buah beri."
3367,"ya, aku pernah melihat mereka makan buah beri.",buah beri tidak sedang musim sepanjang tahun.
3368,buah beri tidak sedang musim sepanjang tahun.,itu terlalu berbahaya untuk anak-anak dan hewan peliharaan.
3369,itu terlalu berbahaya untuk anak-anak dan hewan peliharaan.,orang perlu menutup tempat sampahnya.
3370,orang perlu menutup tempat sampahnya.,polisi perlu menembak semua beruang.
3371,polisi perlu menembak semua beruang.,Anda tidak menyelesaikan masalah dengan menembaknya.
3372,siapa yang kamu pilih?,saya memilih obama.
3373,saya memilih obama.,saya juga.
3374,saya juga.,dia akan menjadi presiden yang hebat.
3375,dia akan menjadi presiden yang hebat.,semua orang menyukainya.
3376,semua orang menyukainya.,dia pembicara yang baik.
3377,dia pembicara yang baik.,dan dia sangat pintar.
3378,dan dia sangat pintar.,dia akan menyelesaikan masalah kita.
3379,dia akan menyelesaikan masalah kita.,dia akan mengakhiri perang.
3380,dia akan mengakhiri perang.,empat tahun ke depan akan menjadi tahun yang baik.
3381,empat tahun ke depan akan menjadi tahun yang baik.,aku juga akan memilihnya lain kali.
3382,aku juga akan memilihnya lain kali.,menurutku semua orang akan melakukannya.
3383,pemilihannya minggu depan.,siapa yang kamu pilih?
3384,siapa yang kamu pilih?,saya tidak memilih walikota.
3385,saya tidak memilih walikota.,mengapa tidak?
3386,mengapa tidak?,dia membuat janji yang tidak dia tepati.
3387,dia membuat janji yang tidak dia tepati.,seperti apa?
3388,seperti apa?,dia berjanji akan mempekerjakan 1.000 petugas polisi lagi.
3389,dia berjanji akan mempekerjakan 1.000 petugas polisi lagi.,berapa banyak yang dia pekerjakan?
3390,berapa banyak yang dia pekerjakan?,seratus!
3391,seratus!,mungkin dia punya alasan bagus.
3392,mungkin dia punya alasan bagus.,mungkin dia hanya pembohong.
3393,mungkin dia hanya pembohong.,mungkin aku akan memilih orang lain juga.
3394,aku tidak percaya dia memenangkan pemilu.,hanya 15 persen pemilih yang hadir.
3395,hanya 15 persen pemilih yang hadir.,itu adalah lelucon.
3396,itu adalah lelucon.,"memilih itu penting, tapi masyarakat tidak ambil pusing."
3397,"memilih itu penting, tapi masyarakat tidak ambil pusing.",banyak orang menganggap suara mereka tidak penting.
3398,banyak orang menganggap suara mereka tidak penting.,walikota menang dengan hanya 2.000 suara.
3399,walikota menang dengan hanya 2.000 suara.,kami terjebak bersamanya selama empat tahun lagi.
3400,kami terjebak bersamanya selama empat tahun lagi.,pemungutan suara itu sangat mudah. Anda bahkan dapat mengirimkan surat suara Anda.
3401,pemungutan suara itu sangat mudah. Anda bahkan dapat mengirimkan surat suara Anda.,yang harus Anda lakukan hanyalah memilih dan memberi stempel di atasnya.
3402,yang harus Anda lakukan hanyalah memilih dan memberi stempel di atasnya.,betapa mudahnya itu?
3403,betapa mudahnya itu?,menurutku orang-orang tidak peduli.
3404,menurutku orang-orang tidak peduli.,mereka akan peduli ketika melihat pajak mereka naik.
3405,"ya, kita punya presiden baru.",tapi kita punya masalah lama yang sama.
3406,tapi kita punya masalah lama yang sama.,"yah, dia membuat beberapa perubahan."
3407,"yah, dia membuat beberapa perubahan.",seperti apa?
3408,seperti apa?,menurutku dia menutup arena bowling di gedung putih.
3409,menurutku dia menutup arena bowling di gedung putih.,Oh ya. dia mengubahnya menjadi lapangan basket.
3410,Oh ya. dia mengubahnya menjadi lapangan basket.,siapa yang membayar untuk itu?
3411,siapa yang membayar untuk itu?,menurutku kita memang begitu!
3412,menurutku kita memang begitu!,"Baiklah, asalkan itu membantunya rileks dan berpikir lebih jernih."
3413,"Baiklah, asalkan itu membantunya rileks dan berpikir lebih jernih.","ya, kita butuh presiden santai yang berpikir jernih."
3414,"ya, kita butuh presiden santai yang berpikir jernih.",apakah ada pemimpin dunia lain yang memiliki lapangan basket?
3415,apakah ada pemimpin dunia lain yang memiliki lapangan basket?,mereka akan. Anda tahu Amerika selalu memimpin.
3416,orang mengatakan bahwa semua orang menyukai obama.,"ya, lebih dari 50 juta orang memilih mccain."
3417,"ya, lebih dari 50 juta orang memilih mccain.",itu berarti 50 juta orang yang tidak menyukai obama.
3418,itu berarti 50 juta orang yang tidak menyukai obama.,Obama punya waktu empat tahun untuk membuat semua orang bahagia.
3419,Obama punya waktu empat tahun untuk membuat semua orang bahagia.,dia tidak akan pernah membuat semua orang bahagia.
3420,dia tidak akan pernah membuat semua orang bahagia.,dapatkah kamu membayangkan menjadi presiden?
3421,dapatkah kamu membayangkan menjadi presiden?,semua orang ingin Anda menyelesaikan masalah mereka.
3422,semua orang ingin Anda menyelesaikan masalah mereka.,saya sudah cukup stres karena mencoba menyelesaikan masalah saya sendiri.
3423,saya sudah cukup stres karena mencoba menyelesaikan masalah saya sendiri.,kamu dan orang lain.
3424,kamu dan orang lain.,saya tidak akan pernah ingin menjadi presiden.
3425,saya tidak akan pernah ingin menjadi presiden.,tapi pikirkan tentang semua kekuatan yang Anda miliki.
3426,tapi pikirkan tentang semua kekuatan yang Anda miliki.,aku lebih memilih kehidupan kecilku yang tenang daripada semua kekuatan di dunia.
3427,apakah kamu membaca artikel ini?,artikel apa?
3428,artikel apa?,dikatakan bahwa walikota hanya menghabiskan 11 persen waktunya untuk tugas-tugas kota.
3429,dikatakan bahwa walikota hanya menghabiskan 11 persen waktunya untuk tugas-tugas kota.,hanya 11 persen?
3430,hanya 11 persen?,sekitar 50 persen dari waktu dia bepergian.
3431,sekitar 50 persen dari waktu dia bepergian.,kemana dia bepergian?
3432,kemana dia bepergian?,"oh, di seluruh dunia."
3433,"oh, di seluruh dunia.",tapi dia seharusnya membuat kota kita menjadi tempat yang lebih baik.
3434,tapi dia seharusnya membuat kota kita menjadi tempat yang lebih baik.,dia mengunjungi kota lain untuk mendapatkan ide.
3435,dia mengunjungi kota lain untuk mendapatkan ide.,tidak bisakah dia online saja?
3436,tidak bisakah dia online saja?,sisa waktunya dia mengumpulkan uang untuk pemilihannya kembali.
3437,sisa waktunya dia mengumpulkan uang untuk pemilihannya kembali.,"yah, dia tidak akan pernah terpilih kembali setelah berita ini tersebar."
3438,siapa yang kamu pilih sebagai presiden?,aku memilih Ralph Nader.
3439,aku memilih Ralph Nader.,siapa sebenarnya Ralph Nader?
3440,siapa sebenarnya Ralph Nader?,dia orang terbaik untuk presiden.
3441,dia orang terbaik untuk presiden.,kenapa begitu?
3442,kenapa begitu?,dia membenci perusahaan.
3443,dia membenci perusahaan.,"ya, sebagian besar perusahaan hanya memikirkan uang."
3444,"ya, sebagian besar perusahaan hanya memikirkan uang.",dia membenci demokrat dan republik.
3445,dia membenci demokrat dan republik.,"ya, mereka memang mengutamakan partainya di atas negaranya."
3446,"ya, mereka memang mengutamakan partainya di atas negaranya.",dia satu-satunya kandidat yang aku percaya.
3447,dia satu-satunya kandidat yang aku percaya.,tapi dia tidak punya kesempatan. tidak ada yang memilih dia!
3448,tapi dia tidak punya kesempatan. tidak ada yang memilih dia!,"cepat atau lambat, pemilih akan sadar."
3449,Aku tidak tahu kenapa aku repot-repot memilih.,kenapa begitu?
3450,kenapa begitu?,apa manfaatnya?
3451,apa manfaatnya?,Anda bisa menempatkan seseorang dalam kekuasaan yang Anda sukai.
3452,Anda bisa menempatkan seseorang dalam kekuasaan yang Anda sukai.,hanya jika kandidat saya menang.
3453,hanya jika kandidat saya menang.,"yah, dia tidak bisa menang kecuali Anda dan orang lain memilihnya."
3454,"yah, dia tidak bisa menang kecuali Anda dan orang lain memilihnya.","tapi meskipun kandidatku menang, dia akan mengingkari janjinya."
3455,"tapi meskipun kandidatku menang, dia akan mengingkari janjinya.",itu benar. mereka menjanjikan apa saja supaya mereka terpilih.
3456,itu benar. mereka menjanjikan apa saja supaya mereka terpilih.,"dan ketika terpilih, mereka menempuh jalannya sendiri."
3457,"dan ketika terpilih, mereka menempuh jalannya sendiri.",mereka lupa siapa yang memberi mereka kekuasaan.
3458,mereka lupa siapa yang memberi mereka kekuasaan.,mereka lupa dari mana mereka berasal.
3459,mereka lupa dari mana mereka berasal.,mungkin kamu harus mencalonkan diri untuk jabatan.
3460,pemilu itu untuk kita. senator bau.,Apa maksudmu?
3461,Apa maksudmu?,ada lebih banyak suara daripada pemilih!
3462,ada lebih banyak suara daripada pemilih!,tapi itu tidak mungkin.
3463,tapi itu tidak mungkin.,para pejabat mengatakan bahwa itu mungkin.
3464,para pejabat mengatakan bahwa itu mungkin.,apakah mereka menjelaskan bagaimana hal itu mungkin?
3465,apakah mereka menjelaskan bagaimana hal itu mungkin?,TIDAK. mereka bilang ada beberapa hal yang tidak bisa kamu jelaskan.
3466,TIDAK. mereka bilang ada beberapa hal yang tidak bisa kamu jelaskan.,jadi apakah mereka akan mengadakan pemilu lagi?
3467,jadi apakah mereka akan mengadakan pemilu lagi?,TIDAK. itu akan menghabiskan terlalu banyak uang.
3468,TIDAK. itu akan menghabiskan terlalu banyak uang.,jadi lebih baik menghemat uang daripada mengadakan pemilu yang jujur?
3469,jadi lebih baik menghemat uang daripada mengadakan pemilu yang jujur?,"nah, partai demokrat bilang ini pemilu yang jujur."
3470,"nah, partai demokrat bilang ini pemilu yang jujur.",tentu saja mereka mengatakan itu—orang mereka menang!
3471,saya melihat mantan presiden bush sedang menghadiri konferensi.,Ya. dia menceritakan lelucon tentang delapan tahun masa jabatannya sebagai presiden.
3472,Ya. dia menceritakan lelucon tentang delapan tahun masa jabatannya sebagai presiden.,"ya, delapan tahun itu sangat menyenangkan bagi semua orang."
3473,"ya, delapan tahun itu sangat menyenangkan bagi semua orang.",hanya 4.000 tentara Amerika yang terbunuh di luar negeri.
3474,hanya 4.000 tentara Amerika yang terbunuh di luar negeri.,belum lagi 40.000 tentara yang terluka.
3475,belum lagi 40.000 tentara yang terluka.,tapi Bush pernah mengunjungi beberapa dari mereka di rumah sakit.
3476,tapi Bush pernah mengunjungi beberapa dari mereka di rumah sakit.,senang sekali dia punya waktu untuk berkunjung.
3477,senang sekali dia punya waktu untuk berkunjung.,dia berbicara kepada mereka dan membuat mereka merasa lebih baik.
3478,dia berbicara kepada mereka dan membuat mereka merasa lebih baik.,apakah dia berbicara kepada setiap keluarga yang kehilangan seorang tentara?
3479,apakah dia berbicara kepada setiap keluarga yang kehilangan seorang tentara?,"tidak, dia tidak punya waktu untuk melakukan itu."
3480,"tidak, dia tidak punya waktu untuk melakukan itu.","yah, dia punya banyak waktu sekarang!"
3481,"yah, dia punya banyak waktu sekarang!","tidak, dia terlalu sibuk menulis buku tentang betapa sulitnya menjadi presiden."
3482,apakah Anda mendapatkan sampel surat suara resmi Anda?,"ya, dengan instruksi pemilih."
3483,"ya, dengan instruksi pemilih.",bagaimana kamu akan memilih?
3484,bagaimana kamu akan memilih?,"sama seperti sebelumnya, melalui surat. yang harus saya bayar hanyalah prangko 42 sen."
3485,"sama seperti sebelumnya, melalui surat. yang harus saya bayar hanyalah prangko 42 sen.","maksud saya, apakah Anda akan mendukung atau menentang pajak baru?"
3486,"maksud saya, apakah Anda akan mendukung atau menentang pajak baru?",tentu saja melawan mereka semua.
3487,tentu saja melawan mereka semua.,"tapi kita memerlukan pajak baru untuk membiayai jalan raya, sekolah, dan penjara."
3488,"tapi kita memerlukan pajak baru untuk membiayai jalan raya, sekolah, dan penjara.",kami telah memilih pajak baru untuk membayar semua hal itu!
3489,kami telah memilih pajak baru untuk membayar semua hal itu!,itu benar. kemana perginya uang itu?
3490,itu benar. kemana perginya uang itu?,legislator kami menghabiskannya untuk perjalanan kelas satu ke seluruh dunia.
3491,legislator kami menghabiskannya untuk perjalanan kelas satu ke seluruh dunia.,mereka bersenang-senang dengan uang kita.
3492,mereka bersenang-senang dengan uang kita.,jadi kapan kita akan berhenti memberi mereka lebih banyak?
3493,sudahkah Anda memutuskan bagaimana Anda akan memilih?,"maksudnya pada langkah 1, 2, dan 3?"
3494,"maksudnya pada langkah 1, 2, dan 3?","Ya. yang akan memperbaiki sekolah, jalan, dan rumah sakit kita."
3495,"Ya. yang akan memperbaiki sekolah, jalan, dan rumah sakit kita.",maksud Anda tindakan yang akan menaikkan pajak kita.
3496,maksud Anda tindakan yang akan menaikkan pajak kita.,tapi iklan tv bilang pajak kita tidak akan naik.
3497,tapi iklan tv bilang pajak kita tidak akan naik.,apakah kamu percaya dengan iklan tv?
3498,apakah kamu percaya dengan iklan tv?,saya suka adegan di mana petugas pemadam kebakaran memberi tahu kami mengapa kami harus memilih ya.
3499,saya suka adegan di mana petugas pemadam kebakaran memberi tahu kami mengapa kami harus memilih ya.,"jangan percaya padanya! apa pun yang disampaikan iklan televisi kepada Anda, yang terjadi justru sebaliknya."
3500,"jangan percaya padanya! apa pun yang disampaikan iklan televisi kepada Anda, yang terjadi justru sebaliknya.","namun judul ukuran 1 adalah ""sekolah yang lebih baik tanpa biaya""."
3501,"namun judul ukuran 1 adalah ""sekolah yang lebih baik tanpa biaya"".","judulnya haruslah ""sekolah yang lebih baik dengan biaya yang besar""."
3502,"judulnya haruslah ""sekolah yang lebih baik dengan biaya yang besar"".",aku tidak percaya mereka akan berbohong kepada kita.
3503,aku tidak percaya mereka akan berbohong kepada kita.,tentu saja mereka berbohong—itulah yang dilakukan politisi!
3504,aku sakit perut.,apakah itu sesuatu yang kamu makan?
3505,apakah itu sesuatu yang kamu makan?,Mungkin. saya tidak yakin.
3506,Mungkin. saya tidak yakin.,apa yang kamu sarapan tadi?
3507,apa yang kamu sarapan tadi?,"biasa, sereal dengan susu dan pisang."
3508,"biasa, sereal dengan susu dan pisang.",mungkin susunya jelek.
3509,mungkin susunya jelek.,baunya tidak busuk.
3510,baunya tidak busuk.,mungkin pisangnya jelek.
3511,mungkin pisangnya jelek.,"tidak, pisangnya enak."
3512,"tidak, pisangnya enak.",mungkin kamu hanya perlu pergi ke kamar mandi.
3513,mungkin kamu hanya perlu pergi ke kamar mandi.,"tidak, bukan itu masalahnya."
3514,"tidak, bukan itu masalahnya.",mungkin sebentar lagi akan hilang.
3515,noda apa ini?,aku tidak tahu.
3516,aku tidak tahu.,sepertinya darah.
3517,sepertinya darah.,menurutku hidungku berdarah.
3518,menurutku hidungku berdarah.,kamu harus segera membasahi bajumu.
3519,kamu harus segera membasahi bajumu.,Mengapa?
3520,Mengapa?,karena itu membuat darah keluar dari bajunya.
3521,karena itu membuat darah keluar dari bajunya.,apa itu sedikit darah?
3522,apa itu sedikit darah?,baju putihmu rusak.
3523,baju putihmu rusak.,"jadi, aku akan membeli yang lain saja."
3524,"jadi, aku akan membeli yang lain saja.",Anda bisa memakai yang ini di sekitar rumah.
3525,Anda bisa memakai yang ini di sekitar rumah.,lain kali aku akan segera merendamnya.
3526,jariku sakit.,mengapa mereka terluka?
3527,mengapa mereka terluka?,saya mengetik terlalu banyak.
3528,saya mengetik terlalu banyak.,kamu harus istirahat.
3529,kamu harus istirahat.,saya perlu mengetik untuk menghasilkan uang.
3530,saya perlu mengetik untuk menghasilkan uang.,tapi mengetik membuatmu kesakitan.
3531,tapi mengetik membuatmu kesakitan.,mungkin aku harus menemui dokter.
3532,mungkin aku harus menemui dokter.,dokter terlalu mahal.
3533,dokter terlalu mahal.,dia mungkin menyuruhku istirahat sebentar.
3534,dia mungkin menyuruhku istirahat sebentar.,dia mungkin ingin membelahmu.
3535,dia mungkin ingin membelahmu.,dia mungkin bilang aku baik-baik saja.
3536,dia mungkin bilang aku baik-baik saja.,dia mungkin mengatakan kamu menderita kanker tulang.
3537,apa kata dokter?,dia pikir aku terlalu stres.
3538,dia pikir aku terlalu stres.,stres menyebabkan sakit perut Anda?
3539,stres menyebabkan sakit perut Anda?,stres menyebabkan masalah yang berbeda pada orang yang berbeda.
3540,stres menyebabkan masalah yang berbeda pada orang yang berbeda.,jadi dia menyuruhmu melakukan apa?
3541,jadi dia menyuruhmu melakukan apa?,dia bilang aku harus berpikir positif.
3542,dia bilang aku harus berpikir positif.,dia tidak memberimu obat apa pun?
3543,dia tidak memberimu obat apa pun?,aku benci obat-obatan. itu membuatku merasa berbeda.
3544,aku benci obat-obatan. itu membuatku merasa berbeda.,jadi bagaimana menurutmu positifnya?
3545,jadi bagaimana menurutmu positifnya?,aku memikirkan hal-hal yang baik.
3546,aku memikirkan hal-hal yang baik.,seperti apa?
3547,seperti apa?,"seperti seharian di pantai, dengan jari-jari kakiku di pasir."
3548,aku memotong jariku.,bagaimana Anda melakukannya?
3549,bagaimana Anda melakukannya?,itu potongan kertas.
3550,itu potongan kertas.,kertas bisa berbahaya.
3551,kertas bisa berbahaya.,itu menyakitkan juga.
3552,itu menyakitkan juga.,potongan kertas bisa sangat menyakitkan.
3553,potongan kertas bisa sangat menyakitkan.,dimana plesternya?
3554,dimana plesternya?,menurutku mereka ada di lemari obat.
3555,menurutku mereka ada di lemari obat.,itu ada di ujung jariku.
3556,itu ada di ujung jariku.,plester mungkin tidak berfungsi.
3557,plester mungkin tidak berfungsi.,saya tidak boleh menggunakan jari ini sampai lukanya sembuh.
3558,saya tidak boleh menggunakan jari ini sampai lukanya sembuh.,mungkin perlu satu atau dua hari untuk sembuh.
3559,apakah kamu mencium bau itu?,Oh ya.
3560,Oh ya.,aku tidak tahan dengan asap rokok.
3561,aku tidak tahan dengan asap rokok.,baunya sangat busuk.
3562,baunya sangat busuk.,sebatang rokok menimbulkan bau busuk di seluruh trotoar.
3563,sebatang rokok menimbulkan bau busuk di seluruh trotoar.,perokok menganggap mereka sangat keren.
3564,perokok menganggap mereka sangat keren.,mereka sangat lemah.
3565,mereka sangat lemah.,sedikit rokok mengendalikan mereka.
3566,sedikit rokok mengendalikan mereka.,mereka terlihat sangat bodoh sambil mengisap rokok.
3567,mereka terlihat sangat bodoh sambil mengisap rokok.,dan kemudian mereka mengeluarkan asap dari mulut mereka.
3568,dan kemudian mereka mengeluarkan asap dari mulut mereka.,menurut mereka itu keren.
3569,menurut mereka itu keren.,rokok bau.
3570,apakah kamu masuk angin?,"ya, saya bersedia."
3571,"ya, saya bersedia.",bagaimana kamu mendapatkannya?
3572,bagaimana kamu mendapatkannya?,adikku sedang flu. dia memberikannya padaku.
3573,adikku sedang flu. dia memberikannya padaku.,apakah kamu sudah meminum sesuatu untuk mengatasi flumu?
3574,apakah kamu sudah meminum sesuatu untuk mengatasi flumu?,"tidak, aku hanya sering membuang ingus."
3575,"tidak, aku hanya sering membuang ingus.",hidungmu tersumbat?
3576,hidungmu tersumbat?,Ya. aku harus bernapas melalui mulutku.
3577,Ya. aku harus bernapas melalui mulutku.,sudahkah kamu mencoba obat tetes hidung?
3578,sudahkah kamu mencoba obat tetes hidung?,"tidak, aku tidak suka obat tetes hidung."
3579,"tidak, aku tidak suka obat tetes hidung.",mereka bekerja dengan baik.
3580,mereka bekerja dengan baik.,saya tidak peduli. aku tidak suka menaruh obat tetes di hidungku.
3581,maukah kamu mengoleskan suntan lotion di punggungku?,Tentu.
3582,Tentu.,Terima kasih.
3583,Terima kasih.,Anda tidak boleh berbaring di bawah sinar matahari terlalu lama.
3584,Anda tidak boleh berbaring di bawah sinar matahari terlalu lama.,saya ingin berjemur. aku tidak ingin terlihat begitu pucat.
3585,saya ingin berjemur. aku tidak ingin terlihat begitu pucat.,apa salahnya terlihat pucat?
3586,apa salahnya terlihat pucat?,orang mengira kamu mungkin sakit.
3587,orang mengira kamu mungkin sakit.,siapa yang berpikir seperti itu?
3588,siapa yang berpikir seperti itu?,aku tidak tahu.
3589,aku tidak tahu.,lebih baik menjadi pucat daripada menderita kanker kulit.
3590,lebih baik menjadi pucat daripada menderita kanker kulit.,saya tahu itu.
3591,saya tahu itu.,jadi kenapa kamu berdebat denganku? jangan berbaring di bawah sinar matahari terlalu lama!
3592,saya tidak bisa berhenti merokok.,Tentu saja Anda bisa.
3593,Tentu saja Anda bisa.,saya tidak punya cukup kemauan.
3594,saya tidak punya cukup kemauan.,tentu saja kamu melakukannya.
3595,tentu saja kamu melakukannya.,kuharap aku tidak pernah memulainya.
3596,kuharap aku tidak pernah memulainya.,begitu juga setiap perokok.
3597,begitu juga setiap perokok.,Aku sudah mencoba untuk berhenti berkali-kali.
3598,Aku sudah mencoba untuk berhenti berkali-kali.,begitu pula orang lain.
3599,begitu pula orang lain.,sepertinya tidak ada yang berhasil.
3600,sepertinya tidak ada yang berhasil.,"yang dibutuhkan hanyalah kemauan, dan Anda memilikinya."
3601,"yang dibutuhkan hanyalah kemauan, dan Anda memilikinya.",lalu kenapa aku tidak bisa berhenti?
3602,lalu kenapa aku tidak bisa berhenti?,kamu harus percaya pada dirimu sendiri.
3603,punggungku membunuhku.,apa yang kamu lakukan?
3604,apa yang kamu lakukan?,aku keluar dari mobilku.
3605,aku keluar dari mobilku.,itu dia?
3606,itu dia?,Aku pernah melukai punggungku hanya karena bersin.
3607,Aku pernah melukai punggungku hanya karena bersin.,Anda harus menemui dokter.
3608,Anda harus menemui dokter.,dokterku bilang aku perlu dioperasi.
3609,dokterku bilang aku perlu dioperasi.,Jadi?
3610,Jadi?,"jadi, lupakan saja."
3611,"jadi, lupakan saja.",kamu tidak punya uang?
3612,kamu tidak punya uang?,saya tidak punya asuransi.
3613,saya tidak punya asuransi.,mungkin pijatan punggung bisa membantu.
3614,saudara laki-laki saya merokok tiga bungkus sehari.,tiga bungkus apa?
3615,tiga bungkus apa?,tentu saja rokok.
3616,tentu saja rokok.,bagaimana dia bisa melakukan itu?
3617,bagaimana dia bisa melakukan itu?,"ketika dia hampir menghabiskan satu batang rokok, dia menggunakannya untuk menyalakan rokok lainnya."
3618,"ketika dia hampir menghabiskan satu batang rokok, dia menggunakannya untuk menyalakan rokok lainnya.",dia seorang perokok berat.
3619,dia seorang perokok berat.,dia telah menjadi perokok berat selama 30 tahun.
3620,dia telah menjadi perokok berat selama 30 tahun.,itu tidak bisa dipercaya. apakah dia masih bisa bernapas?
3621,itu tidak bisa dipercaya. apakah dia masih bisa bernapas?,"dia bisa, tapi orang-orang disekitarnya tidak bisa."
3622,"dia bisa, tapi orang-orang disekitarnya tidak bisa.",bagaimana mungkin dia masih hidup?
3623,bagaimana mungkin dia masih hidup?,dokternya mengatakan jantung dan paru-parunya kuat dan sehat.
3624,dokternya mengatakan jantung dan paru-parunya kuat dan sehat.,mungkin aku harus mulai merokok.
3625,aku benci menyikat gigi.,itu sebuah tugas.
3626,itu sebuah tugas.,"sikat, sikat. meludah, meludah."
3627,"sikat, sikat. meludah, meludah.",apa yang mereka lakukan di masa lalu?
3628,apa yang mereka lakukan di masa lalu?,mereka menyikat dengan jari mereka.
3629,mereka menyikat dengan jari mereka.,mereka juga makan dengan jari mereka!
3630,mereka juga makan dengan jari mereka!,mengapa mereka menyebutnya masa lalu yang indah?
3631,mengapa mereka menyebutnya masa lalu yang indah?,mungkin karena mereka tidak perlu menyikat dan membersihkan gigi.
3632,mungkin karena mereka tidak perlu menyikat dan membersihkan gigi.,siapa penemu flossing?
3633,siapa penemu flossing?,"seorang dokter gigi, saya yakin."
3634,"seorang dokter gigi, saya yakin.",aku benci flossing lebih dari menyikat gigi!
3635,aku benci flossing lebih dari menyikat gigi!,aku tidak sabar menunggu sampai semua gigiku tanggal.
3636,mari kita berhenti sejenak. aku perlu istirahat dan minum.,jalur ini sulit untuk didaki.
3637,jalur ini sulit untuk didaki.,apalagi di hari yang panas seperti ini.
3638,apalagi di hari yang panas seperti ini.,Aku tidak percaya kita belum melihat binatang apa pun.
3639,Aku tidak percaya kita belum melihat binatang apa pun.,Untunglah! aku tidak ingin melihat binatang liar.
3640,Untunglah! aku tidak ingin melihat binatang liar.,yang kami lihat sejauh ini hanyalah sepasang kadal.
3641,yang kami lihat sejauh ini hanyalah sepasang kadal.,"kami mendaki untuk menurunkan berat badan, bukan untuk melihat kambing dan beruang."
3642,"kami mendaki untuk menurunkan berat badan, bukan untuk melihat kambing dan beruang.",aku yakin berat badanku sudah turun beberapa kilogram.
3643,aku yakin berat badanku sudah turun beberapa kilogram.,yang hilang hanyalah keringat.
3644,yang hilang hanyalah keringat.,aku bahkan belum kehilangan satu pon lemak pun?
3645,aku bahkan belum kehilangan satu pon lemak pun?,"jika Anda ingin menghilangkan lemak, Anda harus melakukan pendakian ini setiap hari."
3646,"jika Anda ingin menghilangkan lemak, Anda harus melakukan pendakian ini setiap hari.","oke, tapi ayo jalan-jalan keliling kota. setidaknya ada kucing dan anjing untuk dilihat."
3647,"oh tidak, jerawat lagi di wajahku.",jerawat menyebalkan.
3648,jerawat menyebalkan.,sepertinya aku mendapat jerawat baru hampir setiap hari.
3649,sepertinya aku mendapat jerawat baru hampir setiap hari.,mungkin itu sesuatu dalam diet Anda.
3650,mungkin itu sesuatu dalam diet Anda.,"tidak, saya makan hal yang sama hari demi hari."
3651,"tidak, saya makan hal yang sama hari demi hari.",maka mungkin itu ada dalam gen Anda.
3652,maka mungkin itu ada dalam gen Anda.,kamu mungkin benar.
3653,kamu mungkin benar.,apakah jerawat ada di keluargamu?
3654,apakah jerawat ada di keluargamu?,bukannya aku menyadarinya.
3655,bukannya aku menyadarinya.,"nah, mungkin itu dari polusi udaranya."
3656,"nah, mungkin itu dari polusi udaranya.","apa pun penyebabnya, aku benci melihatnya di wajahku."
3657,"apa pun penyebabnya, aku benci melihatnya di wajahku.","sisi baiknya, mereka menyenangkan untuk dimunculkan."
3658,apakah kamu percaya semua yang kamu dengar?,aku tidak percaya apa pun yang tidak kulihat dengan mataku sendiri.
3659,aku tidak percaya apa pun yang tidak kulihat dengan mataku sendiri.,Anda tidak percaya apa yang Anda dengar di TV atau radio.
3660,Anda tidak percaya apa yang Anda dengar di TV atau radio.,Anda tidak dapat mempercayai apa yang Anda baca di koran.
3661,Anda tidak dapat mempercayai apa yang Anda baca di koran.,setiap orang menceritakan kisah berbeda tentang hal yang sama.
3662,setiap orang menceritakan kisah berbeda tentang hal yang sama.,tiga orang berbeda akan memberi Anda tiga cerita berbeda.
3663,tiga orang berbeda akan memberi Anda tiga cerita berbeda.,dan pemerintah akan memberi Anda cerita keempat.
3664,dan pemerintah akan memberi Anda cerita keempat.,"ya, seperti yang diperintahkan pemerintah untuk tidak khawatir dengan flu babi."
3665,"ya, seperti yang diperintahkan pemerintah untuk tidak khawatir dengan flu babi.",tapi flu babi baru saja membunuh 20 orang di Meksiko.
3666,tapi flu babi baru saja membunuh 20 orang di Meksiko.,pemerintah mengatakan kita tidak perlu khawatir.
